Model,Horizon,Threshold_mm,Precision,Recall,F1,TP,FP,TN,FN,Rain_Day_Base_Rate_Pct
LSTM,1,1.0,0.495244,0.913695,0.64233,39150,39902,58513,3698,30.3321
LSTM,2,1.0,0.381588,0.967143,0.547256,41297,66927,31026,1403,30.3584
LSTM,3,1.0,0.366971,0.962843,0.531406,40994,70715,27002,1582,30.3479
LSTM,4,1.0,0.459504,0.916357,0.612082,38903,45760,51694,3551,30.3442
CNN-LSTM-Temporal,1,1.0,0.502537,0.880508,0.639875,37728,37347,61068,5120,30.3321
CNN-LSTM-Temporal,2,1.0,0.417419,0.942576,0.578604,40248,56173,41780,2452,30.3584
CNN-LSTM-Temporal,3,1.0,0.416535,0.946566,0.578501,40301,56452,41265,2275,30.3479
CNN-LSTM-Temporal,4,1.0,0.464415,0.906864,0.61426,38500,44400,53054,3954,30.3442
CNN-LSTM+Attention,1,1.0,0.524326,0.902189,0.663213,38657,35070,63345,4191,30.3321
CNN-LSTM+Attention,2,1.0,0.413056,0.948829,0.575554,40515,57571,40382,2185,30.3584
CNN-LSTM+Attention,3,1.0,0.376001,0.967352,0.541518,41186,68351,29366,1390,30.3479
CNN-LSTM+Attention,4,1.0,0.497635,0.901964,0.641396,38292,38656,58798,4162,30.3442
